M	Successful	time
1 	 50 	 0.004833527025766671
6 	 50 	 0.0051240320317447186
11 	 50 	 0.0050681899301707745
16 	 50 	 0.005327585036866367
21 	 50 	 0.005277572898194194
26 	 50 	 0.005848479922860861
31 	 50 	 0.006069473922252655
36 	 50 	 0.005923490971326828
41 	 50 	 0.006083888001739979
46 	 50 	 0.0067873389925807714
51 	 50 	 0.0068377560237422585
56 	 50 	 0.0067110470263287425
61 	 50 	 0.007065460900776088
66 	 50 	 0.006708787987008691
71 	 50 	 0.00694867898710072
76 	 50 	 0.00698220101185143
81 	 50 	 0.007181867957115173
86 	 50 	 0.007885480998083949
91 	 50 	 0.007665412034839392
96 	 50 	 0.007647786056622863
101 	 50 	 0.008173148962669075
106 	 50 	 0.008463987964205444
111 	 50 	 0.008280765963718295
116 	 50 	 0.008269823039881885
121 	 50 	 0.009416289045475423
126 	 50 	 0.013411444029770792
131 	 50 	 0.011681759962812066
136 	 50 	 0.009854551055468619
141 	 50 	 0.010549766011536121
146 	 50 	 0.009339374024420977
151 	 50 	 0.009174651000648737
156 	 50 	 0.010413110023364425
161 	 50 	 0.01062875404022634
166 	 50 	 0.010366474045440555
171 	 50 	 0.01026568899396807
176 	 50 	 0.010533904074691236
181 	 50 	 0.010871532023884356
186 	 50 	 0.011417406960390508
191 	 50 	 0.010408079950138927
196 	 50 	 0.01386527402792126
201 	 50 	 0.01192341500427574
206 	 50 	 0.010769924963824451
211 	 50 	 0.011007911991328001
216 	 50 	 0.012201486038975418
221 	 50 	 0.012705003027804196
226 	 50 	 0.013465169933624566
231 	 50 	 0.013795179082080722
236 	 50 	 0.012280746013857424
241 	 50 	 0.012404749053530395
246 	 50 	 0.01166213199030608
251 	 50 	 0.011716242996044457
256 	 50 	 0.013337171054445207
261 	 50 	 0.013115450041368604
266 	 50 	 0.012305711978115141
271 	 50 	 0.012988911010324955
276 	 50 	 0.012638780986890197
281 	 50 	 0.014578912989236414
286 	 50 	 0.014015660039149225
291 	 50 	 0.013855051016435027
296 	 50 	 0.015478621004149318
301 	 50 	 0.0136122340336442
306 	 50 	 0.013666604063473642
311 	 50 	 0.013871607021428645
316 	 50 	 0.014269008068367839
321 	 50 	 0.013265762012451887
326 	 50 	 0.014019807102158666
331 	 50 	 0.015536269056610763
336 	 50 	 0.015543916029855609
341 	 50 	 0.01491270400583744
346 	 50 	 0.018502337974496186
351 	 50 	 0.0165305269183591
356 	 50 	 0.015817763982340693
361 	 50 	 0.01743131596595049
366 	 50 	 0.015717737027443945
371 	 50 	 0.01455918699502945
376 	 50 	 0.0156738490331918
381 	 50 	 0.01666130602825433
386 	 50 	 0.015433275955729187
391 	 50 	 0.01607911998871714
396 	 50 	 0.01719896390568465
401 	 50 	 0.016036934102885425
406 	 50 	 0.020462478045374155
411 	 50 	 0.017013527918606997
416 	 50 	 0.01708201610017568
421 	 50 	 0.01623287599068135
426 	 50 	 0.015321239945478737
431 	 50 	 0.016176896984688938
436 	 50 	 0.01636605802923441
441 	 50 	 0.016403974033892155
446 	 50 	 0.016160554951056838
451 	 50 	 0.0161880700616166
456 	 50 	 0.021952645969577134
461 	 50 	 0.018115206970833242
466 	 50 	 0.019017386017367244
471 	 50 	 0.016809195978567004
476 	 50 	 0.016541874036192894
481 	 50 	 0.024847569060511887
486 	 50 	 0.020796338096261024
491 	 50 	 0.020287453080527484
496 	 50 	 0.01767530501820147
501 	 50 	 0.01925325090996921
506 	 50 	 0.0209534359164536
511 	 50 	 0.02190503105521202
516 	 50 	 0.020258701988495886
521 	 50 	 0.019504092982970178
526 	 50 	 0.02170967892743647
531 	 50 	 0.018758996040560305
